iter	RMSE
0	170848.4512
1	158065.673
2	146913.5008
3	136274.1218
4	127382.8204
5	119327.7745
6	112220.3295
7	105528.0578
8	99676.90502
9	94586.50935
10	90113.64244
11	85672.63128
12	81878.83557
13	78772.37539
14	75580.17948
15	72743.43399
16	70548.81291
17	68550.86536
18	66953.6635
19	65166.40946
20	63861.74521
21	62578.17795
22	61183.72967
23	59997.06318
24	59126.77273
25	58432.00086
26	57776.47498
27	56935.01229
28	56199.79581
29	55497.05258
30	54950.8521
31	54505.29258
32	53935.12225
33	53575.38889
34	52933.40799
35	52621.76247
36	52314.73718
37	51971.70326
38	51647.44768
39	51327.50354
40	50849.30897
41	50664.26608
42	50299.43926
43	50069.08313
44	49851.13718
45	49571.41455
46	49414.68785
47	49220.95636
48	49061.70705
49	48897.86373
50	48777.97011
51	48663.3291
52	48395.84519
53	48255.2597
54	47994.27087
55	47735.98321
56	47511.42552
57	47335.59088
58	47123.93322
59	46900.21544
60	46779.49822
61	46645.51352
62	46392.31359
63	46219.71377
64	46124.85191
65	46004.49874
66	45871.30096
67	45705.66331
68	45596.10592
69	45341.25015
70	45256.05119
71	45182.8853
72	44900.6516
73	44753.82677
74	44669.10139
75	44587.96277
76	44389.65072
77	44260.06609
78	44120.99439
79	44006.7759
80	43909.44995
81	43719.03676
82	43619.4626
83	43528.94948
84	43458.64596
85	43311.68971
86	43133.44726
87	42992.01333
88	42904.28469
89	42867.04921
90	42813.16512
91	42753.46256
92	42638.9382
93	42575.2418
94	42533.05967
95	42368.89616
96	42250.20825
97	42125.05025
98	42022.4431
99	41963.79075
100	41838.50616
101	41714.78929
102	41592.16907
103	41529.95556
104	41405.6125
105	41344.22265
106	41273.19094
107	41172.47848
108	41044.91815
109	40963.30757
110	40915.11261
111	40786.91506
112	40731.03095
113	40701.68162
114	40641.16216
115	40550.63182
116	40447.50594
117	40332.87001
118	40229.90318
119	40150.88188
120	40094.84983
121	40023.72911
122	39987.31945
123	39908.93066
124	39827.8798
125	39708.06037
126	39641.06602
127	39579.1484
128	39486.35648
129	39457.5852
130	39380.64902
131	39308.02737
132	39194.32471
133	39108.59605
134	39079.46965
135	39008.72894
136	38980.04788
137	38938.38829
138	38890.43715
139	38852.82612
140	38793.226
141	38726.19583
142	38656.33041
143	38556.78705
144	38514.08293
145	38467.64259
146	38407.21227
147	38307.08981
148	38275.68873
149	38234.03983
150	38211.52867
151	38148.70873
152	38096.47172
153	38020.26397
154	37978.17476
155	37953.55386
156	37893.29516
157	37856.57636
158	37796.74017
159	37746.59382
160	37697.02738
161	37615.55667
162	37558.41651
