iter	Passed	Remaining
0	26	26090
1	48	24299
2	69	23221
3	90	22634
4	109	21819
5	133	22033
6	152	21654
7	171	21275
8	192	21188
9	216	21471
10	238	21406
11	262	21590
12	281	21371
13	306	21581
14	328	21603
15	350	21555
16	370	21406
17	397	21677
18	419	21636
19	455	22343
20	480	22410
21	502	22340
22	533	22641
23	556	22623
24	577	22535
25	598	22431
26	616	22206
27	642	22290
28	665	22266
29	692	22396
30	719	22478
31	739	22360
32	772	22622
33	804	22852
34	825	22757
35	853	22851
36	876	22820
37	907	22979
38	939	23154
39	969	23277
40	995	23281
41	1024	23377
42	1054	23471
43	1088	23649
44	1121	23804
45	1155	23958
46	1182	23979
47	1209	23984
48	1238	24033
49	1267	24082
50	1299	24183
51	1327	24206
52	1353	24186
53	1375	24088
54	1401	24076
55	1426	24042
56	1443	23878
57	1468	23846
58	1493	23824
59	1515	23744
60	1542	23736
61	1565	23683
62	1588	23625
63	1614	23611
64	1635	23530
65	1657	23452
66	1681	23413
67	1703	23351
68	1725	23278
69	1750	23258
70	1776	23245
71	1805	23274
72	1832	23266
73	1855	23214
74	1876	23148
75	1902	23125
76	1925	23081
77	1948	23026
78	1985	23145
79	2016	23185
80	2046	23221
81	2067	23140
82	2091	23112
83	2121	23129
84	2147	23116
85	2168	23041
86	2191	22996
87	2214	22946
88	2238	22909
89	2261	22866
90	2288	22863
91	2320	22905
92	2350	22920
93	2371	22860
94	2400	22864
95	2422	22816
96	2445	22766
97	2467	22715
98	2489	22654
99	2514	22632
100	2535	22570
101	2559	22529
102	2585	22519
103	2610	22493
104	2632	22437
105	2648	22341
106	2670	22286
107	2689	22211
108	2716	22207
109	2741	22178
110	2767	22164
111	2797	22178
112	2822	22153
113	2849	22149
114	2872	22103
115	2894	22056
116	2920	22041
117	2946	22021
118	2969	21986
119	2990	21932
120	3016	21912
121	3044	21910
122	3061	21831
123	3088	21821
124	3111	21777
125	3139	21779
126	3165	21763
127	3194	21764
128	3221	21751
129	3244	21711
130	3268	21682
131	3294	21664
132	3316	21619
133	3341	21597
134	3360	21529
135	3391	21546
136	3407	21464
137	3432	21438
138	3465	21466
139	3492	21454
140	3514	21413
141	3534	21356
142	3560	21336
143	3588	21329
144	3612	21303
145	3637	21279
146	3663	21260
147	3686	21224
148	3702	21147
149	3728	21128
150	3758	21133
151	3782	21099
152	3809	21089
153	3834	21065
154	3858	21032
155	3879	20986
156	3902	20952
157	3929	20938
158	3953	20909
159	3978	20888
160	4010	20899
161	4039	20893
162	4065	20875
163	4087	20837
164	4110	20801
165	4135	20777
166	4163	20767
167	4188	20743
168	4211	20709
169	4234	20674
170	4262	20666
171	4287	20640
172	4306	20587
173	4326	20536
174	4354	20526
175	4375	20483
176	4402	20471
177	4428	20450
178	4452	20422
179	4480	20410
180	4502	20371
181	4530	20363
182	4561	20364
183	4585	20336
184	4600	20268
185	4628	20254
186	4658	20253
187	4679	20210
188	4698	20163
189	4720	20124
190	4746	20103
191	4778	20108
192	4805	20093
193	4828	20058
194	4852	20031
195	4884	20036
196	4904	19990
197	4924	19945
198	4947	19915
199	4971	19886
200	5003	19890
201	5035	19892
202	5058	19859
203	5081	19829
204	5105	19801
205	5131	19779
206	5151	19736
207	5176	19709
208	5196	19667
209	5227	19666
210	5254	19647
211	5281	19632
212	5304	19600
213	5326	19563
214	5349	19531
215	5375	19510
216	5396	19471
217	5431	19482
218	5465	19489
219	5494	19481
220	5523	19471
221	5555	19469
222	5582	19450
223	5606	19423
224	5634	19407
225	5664	19399
226	5688	19372
227	5710	19335
228	5743	19335
229	5766	19303
230	5783	19253
231	5812	19242
232	5838	19219
233	5869	19213
234	5893	19184
235	5914	19147
236	5940	19126
237	5960	19084
238	5985	19059
239	6008	19028
240	6068	19111
241	6102	19113
242	6127	19089
243	6154	19068
244	6182	19052
245	6208	19030
246	6239	19020
247	6266	19001
248	6292	18978
249	6317	18951
250	6337	18911
251	6363	18888
252	6392	18874
253	6423	18864
254	6446	18835
255	6466	18793
256	6507	18814
257	6537	18800
258	6563	18778
259	6589	18755
260	6609	18714
261	6627	18667
262	6661	18667
263	6693	18660
264	6717	18632
265	6738	18592
266	6768	18582
267	6792	18552
268	6819	18530
269	6842	18499
270	6886	18525
271	6926	18538
272	6968	18555
273	7027	18620
274	7064	18625
275	7102	18631
276	7128	18607
277	7161	18598
278	7213	18641
279	7242	18623
280	7270	18604
281	7339	18686
282	7376	18688
283	7409	18679
284	7430	18642
285	7462	18630
286	7488	18604
287	7518	18586
288	7550	18575
289	7581	18562
290	7641	18617
291	7676	18611
292	7715	18616
293	7747	18604
294	7777	18586
295	7801	18555
296	7827	18527
297	7852	18498
298	7881	18477
299	7906	18447
300	7930	18416
301	7960	18397
302	7988	18375
303	8007	18333
304	8033	18305
305	8057	18273
306	8080	18241
307	8108	18217
308	8131	18183
309	8167	18178
310	8193	18151
311	8235	18160
312	8262	18134
313	8295	18123
314	8320	18093
315	8347	18068
316	8373	18041
317	8401	18018
318	8428	17992
319	8463	17985
320	8505	17991
321	8543	17988
322	8564	17951
323	8593	17929
324	8618	17899
325	8640	17863
326	8670	17844
327	8693	17811
328	8718	17781
329	8745	17755
330	8765	17715
331	8791	17689
332	8820	17666
333	8847	17642
334	8870	17608
335	8904	17597
336	8939	17586
337	8963	17554
338	8991	17531
339	9015	17500
340	9041	17473
341	9067	17446
342	9096	17423
343	9127	17406
344	9154	17380
345	9186	17363
346	9217	17346
347	9243	17317
348	9270	17293
349	9294	17261
350	9316	17227
351	9341	17196
352	9363	17161
353	9388	17133
354	9413	17103
355	9439	17076
356	9465	17048
357	9488	17016
358	9514	16988
359	9540	16960
360	9567	16934
361	9595	16911
362	9621	16884
363	9654	16869
364	9681	16843
365	9708	16816
366	9735	16791
367	9766	16773
368	9793	16747
369	9821	16722
370	9893	16773
371	9926	16758
372	9951	16728
373	9980	16705
374	10003	16672
375	10029	16644
376	10057	16621
377	10085	16596
378	10113	16571
379	10144	16551
380	10177	16534
381	10208	16514
382	10232	16483
383	10255	16451
384	10280	16422
385	10301	16387
386	10327	16358
387	10352	16329
388	10379	16302
389	10403	16271
390	10439	16259
391	10472	16242
392	10514	16239
393	10570	16257
394	10623	16271
395	10668	16271
396	10695	16245
397	10730	16231
398	10760	16208
399	10791	16187
400	10822	16166
401	10854	16146
402	10904	16153
403	10931	16127
404	10961	16103
405	10986	16074
406	11047	16095
407	11090	16091
408	11124	16075
409	11172	16077
410	11201	16052
411	11227	16023
412	11257	16001
413	11284	15972
414	11314	15949
415	11338	15918
416	11375	15903
417	11403	15877
418	11429	15849
419	11462	15829
420	11493	15806
421	11514	15771
422	11545	15748
423	11574	15723
424	11598	15692
425	11622	15660
426	11656	15641
427	11680	15609
428	11707	15582
429	11741	15564
430	11765	15532
431	11785	15495
432	11810	15464
433	11838	15439
434	11865	15410
435	11887	15377
436	11921	15358
437	11956	15341
438	11986	15317
439	12014	15291
440	12036	15257
